domain,n,baseline_accuracy,original_post_accuracy,original_accuracy_change,spuc_exact_post_accuracy,spuc_post_accuracy_lower_bound,spuc_post_accuracy_upper_bound,original_intervention_rate,spuc_intervention_rate,policy_agreement,changed_selected_actions,repairs,breaks,net_repairs
v3_confirmation,2000,0.4995,0.5805,0.08100000000000002,,0.579,0.5835,0.3265,0.328,0.9955,9,,,
tallyqa_posthoc_development,4000,0.6485,0.61875,-0.029749999999999943,0.61875,0.61875,0.61875,0.65275,0.63275,0.8295,682,32.0,151.0,-119.0
