domain,n,n_features,samples_with_any_clipped_feature,fraction_samples_any_clipped,total_clipped_cells,fraction_all_feature_cells_clipped
v3_confirmation,2000,39,83,0.0415,150,0.0019230769230769232
tallyqa_posthoc_development,4000,39,1593,0.39825,7281,0.04667307692307692
