domain,alpha,policy,mean,median,q90,q95,q99,max,min,fraction_gt_threshold
v3_confirmation,0.0,original,-0.06144811258998655,-0.01973613840448437,0.061726367710959844,0.0772649872827189,0.1103147633286646,2.510331955151333,-13.390669989552405,0.0185
v3_confirmation,0.0,spuc_v1,-0.049890787045923035,-0.01949192830995853,0.0622948732331942,0.0778750239247164,0.11118803143713957,1.8877954800228764,-1.6270542771125995,0.02
v3_confirmation,1.5,original,-0.06312836663402288,0.005872292142978394,0.07437851933132783,0.11065916624394327,0.3012034797550846,4.8812238835221775,-86.74157727124391,0.0615
v3_confirmation,1.5,spuc_v1,-0.004107930195215695,0.005915323874800998,0.07567476519711247,0.11399846097527443,0.34188768065256975,1.7401200080284405,-4.437348817377308,0.064
v3_confirmation,2.0,original,-0.07261567727323609,0.016732716255244577,0.13179431866660474,0.17821109171353805,0.30940305268340074,5.410864794686564,-108.99817187843942,0.1445
v3_confirmation,2.0,spuc_v1,0.004204590592145214,0.016823120255259776,0.1331273150679864,0.18211068465538044,0.3607563992250672,1.9980356416273666,-5.673224016105922,0.1465
v3_confirmation,4.0,original,-0.04698369646444864,0.027929568462515656,0.3067546238779659,0.41288853807500875,0.5992797117140455,4.342942576673147,-80.62561500444544,0.273
v3_confirmation,4.0,spuc_v1,0.008766683702541682,0.028175253877831725,0.3114942937093988,0.4175734813737776,0.6156868362748945,1.6350440144196587,-5.168119676469044,0.275
tallyqa_posthoc_development,0.0,original,-7.138948614584854,0.015529372841948674,0.2648687571247626,2.8721011264913794,5.805020190063419,38.12073734809155,-2813.3079560217247,0.28975
tallyqa_posthoc_development,0.0,spuc_v1,-1.1436047201435267,-0.03529852966033914,0.13704725337176993,0.16930693715535775,0.2188910296285841,1.5065903343708615,-27.888489369805054,0.2
tallyqa_posthoc_development,1.5,original,35.657235289347,-0.01745182733015721,14.281873689841406,36.31126655164719,377.4416213305713,15933.953075236786,-216.93860306757395,0.34825
tallyqa_posthoc_development,1.5,spuc_v1,2.0341434927777122,-0.022820184625623935,4.41283625678634,15.675228238407412,40.864745545879934,60.05715380753855,-8.49378334385492,0.32575
tallyqa_posthoc_development,2.0,original,63.72274902281731,0.021170528576931216,16.84585287488273,27.711530184758516,719.8528653682113,29847.1267242742,-221.34313147127844,0.3365
tallyqa_posthoc_development,2.0,spuc_v1,-0.30972831583909494,-0.015420042696280794,0.2405169808419915,0.44586524963313745,4.599324699512925,20.048873545369805,-17.820716707796365,0.1935
tallyqa_posthoc_development,4.0,original,118.11250991441007,0.004536140037839188,42.415288273977396,60.21792673311808,1409.8311969976337,50767.307081733765,-13.522483635010033,0.4005
tallyqa_posthoc_development,4.0,spuc_v1,-0.3748359531114281,-0.0815510382181046,0.47889807307236915,0.8123994298113554,2.4661299230795346,13.684123613814304,-12.824374723380922,0.27025
