feature_index,feature,train_mean,train_scale,raw_min,raw_q001,raw_q01,raw_q05,raw_median,raw_q95,raw_q99,raw_q999,raw_max,z_min,z_q001,z_q01,z_q05,z_median,z_q95,z_q99,z_q999,z_max,abs_z_max
0,baseline_best_numeral,4.888,2.3574257146302617,1.0,1.0,1.0,1.0,5.0,8.0,9.0,10.000999999999976,11.0,-1.6492566344173407,-1.6492566344173407,-1.6492566344173407,-1.6492566344173407,0.04750945037416213,1.3200840139677894,1.744275535165665,2.1688912478847286,2.5926585775614166,2.5926585775614166
1,baseline_entropy,0.22846410464676906,0.2766222223828705,8.801214955062501e-05,9.038783585965492e-05,0.00012264764247162,0.00019862152567509,0.07248850563176434,0.7313584409856195,0.962928727479688,1.1290431175987543,1.1377567378815496,-0.8255883801740448,-0.825579791976435,-0.8254631715316493,-0.825188523014444,-0.5638578045950343,1.8179824166216072,2.655117931256993,3.2556278566278793,3.287127929932673,3.287127929932673
2,baseline_entropy_norm,0.08240100769875769,0.09977037710786282,3.174367292366613e-05,3.2600520637852444e-05,4.423578639265347e-05,7.163757252634676e-05,0.0261447018990995,0.26378179898055926,0.3473031249661165,0.4072162266773844,0.410359000869929,-0.8255883801740443,-0.8255797919764348,-0.8254631715316486,-0.8251885230144432,-0.5638578045950342,1.8179824166216074,2.655117931256993,3.2556278566278793,3.2871279299326734,3.2871279299326734
3,baseline_expected_numeral,4.904833860992918,2.3601459748913887,0.9891383672148536,0.9904333711299507,0.9999821619511698,1.0000037605671337,5.004378679419046,8.260757704859587,9.21252705812405,10.494105135938309,10.9512151820805,-1.6590903848471745,-1.6585416883136237,-1.6544958407589365,-1.6544866893690675,0.04217739897664974,1.4219136780389634,1.825180833286961,2.368188804594005,2.5618675223534972,2.5618675223534972
4,baseline_top1_prob,0.905544053978212,0.14127926761491846,0.3311375591246237,0.4412275167332927,0.49929645098490716,0.5835348314549916,0.9870894356587259,0.9999849899625253,0.9999914169412926,0.9999937424719161,0.9999939536282466,-4.065752212272464,-3.286515743488251,-2.8754934099786267,-2.279239041647026,0.5771928398070416,0.6684698864785219,0.6685153777871605,0.6685318383100861,0.6685333329124725,4.065752212272464
5,baseline_conditional_margin,0.8177377517370221,0.2735078215133602,0.0,0.0,0.0,0.18493815704077954,0.9748701485096674,0.9999745482132307,0.9999867591963281,0.9999904541190515,0.9999910513253863,-2.9898148696894853,-2.9898148696894853,-2.9898148696894853,-2.3136435045801123,0.5745078729493289,0.666294643670023,0.6663392894978086,0.6663527988837672,0.6663549823911035,2.9898148696894853
6,baseline_vocab_numeral_mass,0.984386313020344,0.0229913814593945,0.808021939023007,0.8465165939330656,0.8904389800333367,0.9364488727050702,0.9937704193699375,0.9994246255992699,0.9997112544982746,0.9997907953268235,0.9997935571477172,-7.670890690444909,-5.99658264688325,-4.0861978282135585,-2.085017831570363,0.4081575683552102,0.654084775440112,0.666551573031672,0.6700111663009756,0.6701312904831004,7.670890690444909
7,baseline_numprob_0,4.1636746722537664e-05,0.0004672236943500778,5.657419486504376e-08,6.022381677118306e-08,1.055632957076938e-07,2.6994971624304497e-07,7.88585873725557e-06,7.662710563163134e-05,0.00017771968817640476,0.009709459875527592,0.0109866587397069,-0.08899414355582264,-0.08898633226125373,-0.0888892920651233,-0.08853745541273773,-0.07223710696485672,0.07488994957279792,0.2912586478371191,20.69206516217737,23.425656971890554,23.425656971890554
8,baseline_numprob_1,0.10178598403062854,0.3009663347630182,2.5609371924977845e-06,2.710105001735656e-06,3.088311192390631e-06,7.863049783187283e-06,0.00029516691561619996,0.9999849899625253,0.9999914169412926,0.9999937424719161,0.9999939536282466,-0.3381887318845166,-0.3381882362549661,-0.33818697961544536,-0.3381711149221582,-0.33721651026160954,2.9843836409116697,2.9844049953889815,2.9844127222685524,2.98441342386307,2.98441342386307
9,baseline_numprob_2,0.1118264805340267,0.31168846703835984,2.3670276954995402e-07,2.3721510664497452e-07,3.249906562956756e-07,6.049749267916633e-07,6.527046599765071e-06,0.9999514934224004,0.9999735884645083,0.9999810174710962,0.9999824433748156,-0.3587756868061935,-0.3587756851624461,-0.3587754035493647,-0.35877450526694454,-0.35875550529646366,2.84939966283408,2.8494705510588445,2.8494943857764343,2.849498960548587,2.849498960548587
