alpha,score_column,v3_mean,tally_mean,delta_mean_tally_minus_v3,v3_median,tally_median,delta_median_tally_minus_v3,v3_q90,tally_q90,v3_fraction_gt_threshold,tally_fraction_gt_threshold,delta_fraction_gt_threshold,ks_statistic,ks_pvalue
0.0,score_alpha_0,-0.06144811258998613,-7.138948614584878,-7.0775005019948924,-0.01973613840448505,0.01552937284194965,0.0352655112464347,0.06172636771095879,0.2648687571247614,0.0185,0.28975,0.27125,0.30175,1.3062586676850534e-107
1.5,score_alpha_1p5,-0.06312836663402842,35.65723528934713,35.72036365598115,0.0058722921429766005,-0.0174518273301545,-0.0233241194731311,0.07437851933132822,14.281873689841397,0.0615,0.34825,0.28675,0.301,4.5391513545190473e-107
2.0,score_alpha_2,-0.07261567727324367,63.722749022817574,63.795364700090815,0.0167327162552445,0.021170528576930803,0.004437812321686302,0.13179431866660546,16.84585287488273,0.1445,0.3365,0.19200000000000003,0.24275,2.1507694507130584e-69
4.0,score_alpha_4,-0.04698369646445589,118.11250991441058,118.15949361087503,0.02792956846251555,0.0045361400378386,-0.023393428424676947,0.3067546238779654,42.415288273977396,0.273,0.4005,0.1275,0.24025,5.7578526100961195e-68
