domain,n,baseline_accuracy,post_accuracy,accuracy_change,intervention_rate,repairs,breaks,net_repairs,selected_score_mean,selected_score_median,selected_score_q10,selected_score_q90,fraction_selected_score_gt_threshold,mean_realized_selected_utility,mean_realized_utility_when_intervened,score_utility_spearman
v2_oof,1000,0.503,0.586,0.08299999999999996,0.333,91,8,83,0.1229600091778895,0.05680435573922265,-0.03619743767429045,0.3279280694166748,0.333,0.083,0.24924924924924924,0.40928965261004924
v3_confirmation,2000,0.4995,0.5805,0.08100000000000002,0.3265,173,11,162,0.08305156253051013,0.052305305538973654,-0.04864855627280223,0.3245804614840327,0.3265,0.081,0.24808575803981622,0.4108723842574873
tallyqa_natural,4000,0.6485,0.61875,-0.029749999999999943,0.65275,51,170,-119,118.97961884274075,0.15112777656540224,-0.024257389544227004,44.11471141066683,0.65275,-0.02975,-0.045576407506702415,-0.06063746942683605
