alpha,n,mean_predicted_score,median_predicted_score,fraction_score_gt_threshold,mean_realized_utility_all,mean_realized_utility_when_score_gt_threshold,score_utility_spearman,triggered_n,triggered_repairs,triggered_breaks,triggered_net_repairs,triggered_repair_fraction,triggered_break_fraction
0.0,4000,-7.138948614584878,0.01552937284194965,0.28975,0.0235,-0.0060396893874029335,-0.11072065959765956,1159,1,8,-7,0.0008628127696289905,0.006902502157031924
1.5,4000,35.65723528934713,-0.0174518273301545,0.34825,-0.0175,-0.027279253409906678,-0.018831177542606294,1393,14,52,-38,0.010050251256281407,0.03732950466618808
2.0,4000,63.722749022817574,0.021170528576930803,0.3365,-0.027,-0.034918276374442794,0.00954874746762975,1346,33,80,-47,0.02451708766716196,0.05943536404160475
4.0,4000,118.11250991441058,0.0045361400378386,0.4005,-0.07125,-0.08114856429463171,0.019252086396416516,1602,53,183,-130,0.033083645443196,0.11423220973782772
