group,feature,v3_mean,tally_mean,mean_difference,v3_std,tally_std,smd_tally_minus_v3,abs_smd,v3_median,tally_median,robust_median_shift,ks_statistic,ks_pvalue
baseline_correct,geom_up_down_logratio,-1.1653527537899235,6.3692742779566185,7.534627031746542,2.838477003162856,7.658358693638516,1.3046370840508392,1.3046370840508392,-1.249999909558541,4.12499997823976,1.190311426159343,0.6229757127983805,4.651478952484777e-264
baseline_correct,baseline_best_numeral,3.4794794794794797,1.3353893600616809,-2.1440901194177986,2.1392714399807153,1.0377025367887582,-1.2752833134709787,1.2752833134709787,3.0,1.0,-1.0,0.5156339840225731,4.831145792895303e-176
baseline_correct,baseline_vocab_numeral_mass,0.9857694108885838,0.8548951792855731,-0.1308742316030107,0.025336901406770775,0.14490024480036884,-1.2582304404164477,1.2582304404164477,0.9964850530689092,0.9112063958206065,-1.192977746506811,0.7464249137340887,1.033e-321
baseline_correct,baseline_expected_numeral,3.462424785364465,1.4722645912017196,-1.9901601941627454,2.125424015958233,1.0390688870077147,-1.1896571905082978,1.1896571905082978,3.0001553519972446,1.0245020929868007,-0.9969838256338247,0.5255699029793093,2.764004076608338e-183
baseline_correct,baseline_numprob_1,0.20089718555149105,0.54133623206607,0.3404390465145789,0.39994130565095065,0.45884013515365857,0.7909839848222912,0.7909839848222912,0.0002577984097246,0.7542946604969198,1.5083453281594905,0.49851663537091445,5.800956596937502e-164
baseline_correct,geom_signed_tail_mass,-0.014567545769416356,0.07644289313584128,0.09101043890525763,0.11544663358311544,0.15754908908872323,0.6589629250009281,0.6589629250009281,-1.2607948298617752e-05,0.00526531729807205,0.10905210900497468,0.6175084104922193,5.046501801855927e-259
baseline_correct,geom_local_asymmetry,-0.014616534353886624,0.055465348597621755,0.07008188295150838,0.11317065318446023,0.1274096078458436,0.5815893364194376,0.5815893364194376,-1.2384681799697077e-05,0.0031637728979218,0.10390260203295774,0.5935785438483974,1.023033141543978e-237
baseline_correct,geom_up_mass,0.021967442150392164,0.0898564343983503,0.06788899224795814,0.07582116951750524,0.15053013588797254,0.5696298231246198,0.5696298231246198,0.0001071812250006,0.0077674601739233,0.14277344919358662,0.47009654218597935,5.167748106460713e-145
baseline_correct,baseline_numprob_0,3.815065902895865e-05,0.10652642220943839,0.10648827155040944,0.0003682770033253655,0.279453677960726,0.5388979962150455,0.5388979962150455,5.422199701326105e-06,1.1476153190211642e-05,0.1225044547805495,0.19832477041420757,2.6467589023757326e-25
baseline_correct,geom_expected_minus_pred,-0.01705469411501468,0.13687523114003858,0.15392992525505325,0.11908870809038605,0.4137177161506111,0.5056479385567917,0.5056479385567917,-9.936497999962768e-06,0.0066537288210053,0.10406199155408961,0.6551675036640341,5.01903423286729e-295
baseline_correct,geom_signed_distance_mass,-0.017054694115014653,0.13687523114003858,0.15392992525505322,0.11908870809038609,0.4137177161506111,0.5056479385567916,0.5056479385567916,-9.936497998990887e-06,0.00665372882100505,0.10406199155407123,0.6551675036640341,5.01903423286729e-295
baseline_correct,baseline_numprob_5,0.11169840248547316,0.012023127495968627,-0.09967527498950454,0.28619212683149914,0.07491081218210265,-0.4764911423320927,0.4764911423320927,1.1192646078048729e-05,1.3927970461907726e-05,0.007506170189958237,0.2546968711193846,1.2672558515013943e-41
baseline_correct,geom_p_up1,0.021054562083802054,0.0679416935028864,0.04688713141908434,0.07267615914839658,0.11876820701824574,0.47621754424697693,0.47621754424697693,8.480381993146485e-05,0.00577314756050165,0.15300473438429205,0.45743623345782175,5.384096807150172e-137
baseline_correct,baseline_numprob_4,0.13993545211803188,0.02354823983635073,-0.11638721228168114,0.3303884590399714,0.11425307722131538,-0.47083242033999106,0.47083242033999106,7.3721499155287265e-06,5.016286057531637e-05,0.060170649588721266,0.3471875885137258,9.583560673064773e-78
