group,feature,v3_mean,tally_mean,mean_difference,v3_std,tally_std,smd_tally_minus_v3,abs_smd,v3_median,tally_median,robust_median_shift,ks_statistic,ks_pvalue
baseline_wrong,baseline_best_numeral,6.348651348651349,2.7887624466571834,-3.5598889019941655,1.671323032606408,1.9090088812398962,-1.9842128043409037,1.9842128043409037,7.0,2.0,-3.3333333333333335,0.711626922153238,5.4695974542757e-286
baseline_wrong,baseline_expected_numeral,6.372502850892158,2.85561821859668,-3.5168846322954783,1.6378365159751946,1.9013395958149606,-1.9819174389951664,1.9819174389951664,6.7276999793461485,2.1107157369673577,-2.4969381384703584,0.7293488872436241,2.0342305316857847e-302
baseline_wrong,baseline_vocab_numeral_mass,0.982514741346899,0.8557885447150905,-0.1267261966318085,0.02149569496340471,0.12534280039067935,-1.4092488296843428,1.4092488296843428,0.9895622746114724,0.8937768512652156,-1.279094214484296,0.7840210998105734,4.74e-322
baseline_wrong,baseline_numprob_2,0.022729175604302897,0.36525832588859686,0.342529150284294,0.14317213862996844,0.35960648168897436,1.2515112718834436,1.2515112718834436,4.766449417162378e-06,0.25349004865207575,0.7443834433010568,0.8725740831003989,0.0
baseline_wrong,baseline_entropy_norm,0.1136746442666494,0.2930210912549094,0.17934644698825997,0.0966491435650883,0.19770130751791914,1.1525628109019748,1.1525628109019748,0.0853450460454502,0.2555421191329277,0.766334932709156,0.43074848338006233,5.7082539910057535e-98
baseline_wrong,baseline_entropy,0.31517303669833124,0.8124269729917554,0.4972539362934241,0.2679683254626974,0.5481444155962414,1.1525628109019743,1.1525628109019743,0.2366267121646502,0.7085131975652099,0.7663349327091559,0.43074848338006233,5.7082539910057535e-98
baseline_wrong,geom_down_boundary_gap,0.8213938630411759,0.5434156741288813,-0.27797818891229464,0.22600640623678162,0.3057072779687194,-1.0340414555659503,1.0340414555659503,0.926415432862295,0.5413907332475623,-0.9570012996196638,0.40853030326714534,7.267723568747279e-88
baseline_wrong,baseline_top1_prob,0.8709102115280902,0.6791117167417481,-0.19179849478634214,0.14670819362594775,0.22488078683871876,-1.0102029589227233,1.0102029589227233,0.9392058055024394,0.6799692683283338,-0.9260827956311773,0.37369955791008425,3.129053216145281e-73
baseline_wrong,baseline_numprob_1,0.002785657567880488,0.19601317312661728,0.1932275155587368,0.04367601731991683,0.2943848678914102,0.9182068645848804,0.9182068645848804,0.0003345180313496,0.0329908815764498,0.22735616676127363,0.5826769247821879,1.6171544752003905e-184
baseline_wrong,baseline_numprob_7,0.2670013222704641,0.021959975535816956,-0.24504134673464711,0.38288780788243776,0.07347216966105174,-0.8888547812287624,0.8888547812287624,0.0124281718174588,0.00010568391574704999,-0.04614219186527505,0.33709960025749497,2.121650236766623e-59
baseline_wrong,baseline_conditional_margin,0.7493262701534287,0.47693427307647984,-0.27239199707694883,0.2859443716642541,0.3271911572812305,-0.8865176210417833,0.8865176210417833,0.879295835355961,0.43527227256859635,-0.8901841748806016,0.3631830473935737,4.2608087227717674e-69
