group,feature,v3_mean,tally_mean,mean_difference,v3_std,tally_std,smd_tally_minus_v3,abs_smd,v3_median,tally_median,robust_median_shift,ks_statistic,ks_pvalue
overall,baseline_best_numeral,4.9155,1.84625,-3.06925,2.3960864686364287,1.568510756736625,-1.5156599440099126,1.5156599440099126,5.0,1.0,-1.6,0.595,2.48e-321
overall,baseline_expected_numeral,4.918918857161075,1.9585133912310482,-2.9604054659300267,2.390699607881469,1.5512934009880515,-1.4690476525522327,1.4690476525522327,5.004277637790994,1.550298599491364,-1.3361446401197488,0.617,2.12e-321
overall,baseline_vocab_numeral_mass,0.9841404487829707,0.8552091972340484,-0.12893125154892227,0.023543473453050162,0.1383260626464785,-1.2994753392177418,1.2994753392177418,0.9938299447340642,0.9047182780539629,-1.2040442670178426,0.75825,0.0
overall,baseline_numprob_1,0.10174236579569397,0.41995517684885236,0.3182128110531584,0.301044376472392,0.44062442078692154,0.8432954314622269,0.8432954314622269,0.00031292607296709996,0.17083987607193185,0.3472286850535782,0.55675,3.103e-321
overall,baseline_numprob_7,0.14615159184837645,0.01024430261735014,-0.1359072892310263,0.30905112165056825,0.05279967617545569,-0.613027704543243,0.613027704543243,0.00010979850866875,1.2980315054299458e-05,-0.004651240614296717,0.23325,4.741212719317021e-64
overall,geom_up_down_logratio,0.6601875351770771,4.075674166943066,3.415486631765989,4.425262839325815,7.355729431461306,0.5626834917234463,0.5626834917234463,-0.24999999999670094,2.6249998745853054,0.4693877368254447,0.25475,1.8400823885163157e-76
overall,baseline_entropy_norm,0.08337990350180903,0.1676853035827016,0.08430540008089256,0.10030235572451199,0.18683833595278593,0.5622289009739986,0.5622289009739986,0.0274502165185722,0.10615494706463935,0.3805286650217122,0.19525,6.987380018141688e-45
overall,baseline_entropy,0.23117818011055702,0.4649223815987524,0.23374420148819536,0.2780971802958647,0.5180258631447416,0.5622289009739984,0.5622289009739984,0.0761081607424336,0.2943240090413801,0.38052866502171206,0.19525,6.987380018141688e-45
overall,baseline_numprob_6,0.15935635875205512,0.02304147865825071,-0.1363148800938044,0.33318707739416115,0.09373901966803755,-0.5569660308283688,0.5569660308283688,7.225159598110516e-05,3.5320605814335e-05,-0.004210146359736894,0.15625,7.875184397460182e-29
overall,baseline_numprob_8,0.11224829221725102,0.00628636263412446,-0.10596192958312656,0.2694682806078274,0.04148066392463999,-0.5496315946537239,0.5496315946537239,9.03823730240721e-06,6.862866075686606e-06,-0.002451377847795786,0.1565,6.38154374621064e-29
