layer,head,n_pairs,mean_effect_wrong,mean_effect_correct,mean_interaction_logp,mean_abs_interaction_logp,negative_interaction_fraction,positive_interaction_fraction
3,0,5,-0.09425010681152343,0.00980230416171252,-0.10405241097323596,0.10456456369720397,0.6,0.4
3,1,5,-0.08851293325424192,0.00795098827220498,-0.09646392152644692,0.14184508309699595,0.6,0.4
3,2,5,-0.32723369598388674,-0.00897593991830942,-0.31825775606557727,0.31825775606557727,1.0,0.0
3,3,5,0.15649111270904537,0.0218858379870653,0.13460527472198008,0.18461877061054105,0.2,0.8
3,4,5,-0.767590856552124,-0.040004821773618415,-0.7275860347785056,0.7275860347785056,1.0,0.0
3,5,5,0.10484747886657715,0.018856746423989504,0.08599073244258763,0.12004238860681651,0.4,0.6
3,6,5,-0.2938560485839844,-0.01672457996755835,-0.277131468616426,0.277131468616426,1.0,0.0
3,7,5,-0.14900275468826293,0.0018068627920001766,-0.15080961748026311,0.15152521147392686,0.8,0.2
3,8,5,-0.14422190189361567,0.01567299189046023,-0.1598948937840759,0.15992635907605285,0.8,0.2
3,9,5,-0.15499676465988155,-0.00100916465744372,-0.15398760000243783,0.19506524959579105,0.8,0.2
3,10,5,-0.1362898826599121,-0.004701279755681744,-0.13158860290423036,0.131853256188333,0.8,0.2
3,11,5,-0.44829474687576293,-0.0069096490275114995,-0.44138509784825136,0.44138509784825136,1.0,0.0
3,12,5,-0.11856194734573364,0.00694422516971826,-0.1255061725154519,0.1673016672953963,0.6,0.4
3,13,5,-0.09352571964263912,0.013989513600245113,-0.10751523324288423,0.10751523324288423,1.0,0.0
3,14,5,-0.18785725831985473,-0.025234928587451595,-0.16262232973240312,0.16262232973240312,1.0,0.0
3,15,5,0.12034918069839476,0.028743666457012255,0.0916055142413825,0.09180158763192595,0.2,0.8
3,16,5,-0.09849753379821775,-0.004612019285559641,-0.09388551451265811,0.14017687775194643,0.8,0.2
3,17,5,-0.18896945714950558,-0.01388815827667712,-0.17508129887282844,0.19021854214370246,0.8,0.2
3,18,5,-0.019645690917968736,-0.0012831763830035796,-0.01836251453496516,0.07105449340306216,0.4,0.6
3,19,5,-0.01618826389312744,0.01736560978461054,-0.033553873677737975,0.12743843265343452,0.8,0.2
3,20,5,-0.47448785305023194,-0.0037117111496627006,-0.4707761419005692,0.4707761419005692,1.0,0.0
3,21,5,-0.1490319967269897,-0.0227543341461569,-0.12627766258083278,0.12627766258083278,1.0,0.0
3,22,5,-0.48462700843811035,-0.04446686417795714,-0.44016014426015315,0.44016014426015315,1.0,0.0
3,23,5,-0.010202777385711681,0.02434769459068772,-0.03455047197639939,0.13137195557355877,0.4,0.6
3,24,5,-0.009861588478088379,-0.014473918010480698,0.004612329532392318,0.19461305581498886,0.6,0.4
3,25,5,-0.20479485988616944,0.0012698824750259356,-0.20606474236119535,0.2560138650005682,0.8,0.2
3,26,5,0.07839188575744628,-0.013361311890184862,0.09175319764763115,0.16505989525467152,0.4,0.6
3,27,5,0.44137208461761473,0.0062454461120069,0.43512663850560784,0.43512663850560784,0.0,1.0
3,28,5,-0.17574598789215085,-0.010480592865496841,-0.165265395026654,0.165265395026654,1.0,0.0
3,29,5,-0.2722593307495117,0.0052234012633561805,-0.2774827320128678,0.2774827320128679,1.0,0.0
3,30,5,-0.30992138385772705,0.0077192540280521,-0.3176406378857791,0.3176762879826128,0.8,0.2
