layer,head,n_pairs,mean_effect_wrong,mean_effect_correct,mean_interaction_logp,median_interaction_logp,negative_fraction,mean_abs_interaction
38,2,3,-0.041276295979817704,0.009002628425757058,-0.050278924405574764,-0.0269499421119689,1.0,0.050278924405574764
38,3,3,-0.10632475217183428,2.5292470430334408e-05,-0.10635004464226461,-0.12487874669022853,0.6666666666666666,0.14247095608152444
38,4,3,-0.04060477018356321,0.00898729272497195,-0.04959206290853516,-0.0249230861663818,0.6666666666666666,0.049611209814126256
38,5,3,0.00015753507614133853,0.008794496456781993,-0.008636961380640655,-4.122965037822723e-06,0.6666666666666666,0.008676307275891292
38,6,3,-0.040741801261901835,5.950755439698179e-05,-0.040801308816298815,-9.348639287054539e-05,0.6666666666666666,0.04214908904395995
38,7,3,0.05994292100270584,0.008977172042553617,0.05096574896015221,0.027603521943092298,0.0,0.05096574896015221
38,8,3,-0.0408566395441691,0.009016719336311001,-0.049873358880480105,-0.025360018014907802,0.6666666666666666,0.04988720019658404
38,9,3,-0.04133375485738117,0.008815460139885515,-0.05014921499726669,-0.02647431194782248,0.6666666666666666,0.05018077441491183
38,10,3,0.01820065577824907,0.00016920563454423927,0.018031450143704827,0.0003324272111059,0.0,0.018031450143704827
38,11,3,6.792942682900352e-05,0.008914031165962401,-0.008846101739133397,0.00015612156130371873,0.3333333333333333,0.009081803184623474
