role,n,mean_oracle_delta_logp,oracle_logp_ci_low,oracle_logp_ci_high,mean_oracle_delta_margin,oracle_margin_ci_low,oracle_margin_ci_high,positive_oracle_fraction,strong_positive_fraction_0p05,strong_positive_fraction_0p10
correct,27,0.012637173601736586,0.006015487237514338,0.020942186916040002,0.06944444444444445,0.032407407407407406,0.1111111111111111,0.9259259259259259,0.037037037037037035,0.0
wrong,27,0.09323471563833728,0.06131754241607806,0.12693367677706252,0.09953703703703703,0.06018518518518518,0.1412037037037037,0.9629629629629629,0.6296296296296297,0.48148148148148145
