alpha,group,feature_index,feature,ridge_coef_standardized,scaler_train_mean,scaler_train_scale,v3_raw_mean,tally_raw_mean,raw_mean_shift,v3_mean_z,tally_mean_z,delta_mean_z,score_drift_contribution,abs_score_drift_contribution
0.0,baseline_correct,33,geom_up_distance_mass,-1.820573857963023,0.057874787567668846,0.12006049598759855,0.022951865623440853,0.15149234723370827,0.12854048161026743,-0.2908777084165581,0.7797532310353752,1.0706309394519333,-1.949162699892582,1.949162699892582
0.0,baseline_correct,22,baseline_numprob_15,-0.007527690110482668,5.092615811533367e-07,6.972043028902016e-07,4.247762668945302e-07,0.0001363213019271902,0.0001358965256602957,-0.1211772702901864,194.79518382637556,194.91636109666575,-1.4672699637986395,1.4672699637986395
0.0,baseline_correct,21,baseline_numprob_14,0.02870416367450051,5.361677067666297e-07,5.580397329298716e-06,6.591502029436373e-07,0.00015122842769284918,0.00015056927748990554,0.022038304608045255,27.003858523640236,26.98182021903219,0.7744905838030471,0.7744905838030471
0.0,baseline_correct,35,geom_signed_distance_mass,-0.7711809358974412,0.016833860992917976,0.159414885732714,-0.017054694115014646,0.13687523114003847,0.1539299252550531,-0.21258087004969242,0.7530123024294623,0.9655931724791547,-0.7446470464486539,0.7446470464486539
0.0,baseline_correct,24,geom_expected_minus_pred,-0.7711809358490697,0.016833860992917882,0.15941488573271406,-0.01705469411501467,0.13687523114003844,0.1539299252550531,-0.21258087004969176,0.7530123024294623,0.965593172479154,-0.7446470464019461,0.7446470464019461
0.0,baseline_correct,7,baseline_numprob_0,0.0027280026526084467,4.1636746722537664e-05,0.0004672236943500778,3.815065902895865e-05,0.10652642220943835,0.1064882715504094,-0.007461281899301508,227.9096431760367,227.917104457936,0.6217584655360858,0.6217584655360858
0.0,baseline_correct,26,geom_p_up1,1.1788862868661614,0.055403704178660945,0.11240925085721881,0.02105456208380206,0.06794169350288629,0.046887131419084224,-0.305572200089554,0.11153876774920476,0.4171109678387588,0.4917264000865852,0.4917264000865852
0.0,baseline_correct,28,geom_p_up2,0.4959691435282567,0.0011660318917660227,0.011531309036386122,0.000859218850562616,0.010253413904349095,0.00939419505378648,-0.02660695678480918,0.7880616141592066,0.8146685709440158,0.4040504733904924,0.4040504733904924
0.0,baseline_correct,34,geom_down_distance_mass,-0.9929441060893665,0.04104092657475086,0.09632090971138188,0.04000655973845548,0.014617116093669807,-0.025389443644785674,-0.01073875692614142,-0.27433098960815083,-0.26359223268200943,0.2617323538525381,0.2617323538525381
0.0,baseline_correct,29,geom_local_asymmetry,0.5411871938208404,0.018388733864148705,0.15378152644045082,-0.014616534353886615,0.055465348597621755,0.07008188295150837,-0.21462440243637493,0.24109927630241282,0.4557236787387877,0.2466318188543547,0.2466318188543547
0.0,baseline_correct,32,geom_signed_tail_mass,0.4104452439426217,0.01876356953326998,0.15624521333330574,-0.014567545769416344,0.07644289313584117,0.0910104389052575,-0.2133256730981169,0.36915898011882414,0.582484653216941,0.23907805558246076,0.23907805558246076
0.0,baseline_correct,36,geom_up_boundary_gap,-0.5366050870559864,0.850140349799551,0.23716932901579027,0.9204430078459969,0.8287883308362543,-0.09165467700974261,0.2964239024421477,-0.09002858443755693,-0.3864524868797047,0.20737237036508638,0.20737237036508638
0.0,baseline_correct,30,geom_up_mass,0.2545497267257716,0.05660975777752894,0.11565254758752253,0.021967442150392164,0.0898564343983503,0.06788899224795814,-0.299537851519617,0.28747033519223836,0.5870081867118553,0.14942277351329347,0.14942277351329347
0.0,baseline_correct,25,geom_p_down1,0.5289719411180366,0.03701497031451224,0.09318666597285259,0.035671096437688676,0.012476344905264647,-0.023194751532424028,-0.014421310847359313,-0.2633276462149212,-0.2489063353675619,-0.13166446737595622,0.13166446737595622
0.0,baseline_correct,20,baseline_numprob_13,-0.18607804510478954,9.62823837967822e-06,0.00019160570210330127,1.1040122379275983e-05,0.00014513441173751913,0.00013409428935824314,0.007368695107187206,0.7072136782483889,0.6998449831412017,-0.1302257863393092,0.1302257863393092
0.0,baseline_correct,6,baseline_vocab_numeral_mass,-0.021768764025490637,0.984386313020344,0.0229913814593945,0.9857694108885838,0.8548951792855743,-0.13087423160300948,0.06015723199071668,-5.6321597709762425,-5.692317002966959,0.12391470559587582,0.12391470559587582
0.0,baseline_correct,31,geom_down_mass,-0.3695806070186524,0.03784618824425898,0.09386526146666196,0.0365349879198085,0.013413541262509028,-0.02312144665729947,-0.013968962574254975,-0.2602948801290886,-0.2463259175548336,0.09103728213434194,0.09103728213434194
0.0,baseline_correct,38,geom_up_down_logratio,0.041067793682450254,0.7816250345194553,4.440435566835954,-1.1653527537899242,6.369274277956625,7.534627031746549,-0.4384654971351616,1.258356113794183,1.6968216109293446,0.0696847198335692,0.0696847198335692
