alpha,feature,ridge_coef_standardized,abs_coef,scaler_mean,scaler_scale
0.0,geom_up_distance_mass,-1.820573857963023,1.820573857963023,0.057874787567668846,0.12006049598759855
0.0,geom_p_up1,1.1788862868661614,1.1788862868661614,0.055403704178660945,0.11240925085721881
0.0,geom_down_distance_mass,-0.9929441060893665,0.9929441060893665,0.04104092657475086,0.09632090971138188
0.0,geom_signed_distance_mass,-0.7711809358974412,0.7711809358974412,0.016833860992917976,0.159414885732714
0.0,geom_expected_minus_pred,-0.7711809358490697,0.7711809358490697,0.016833860992917882,0.15941488573271406
0.0,geom_local_asymmetry,0.5411871938208404,0.5411871938208404,0.018388733864148705,0.15378152644045082
0.0,geom_up_boundary_gap,-0.5366050870559864,0.5366050870559864,0.850140349799551,0.23716932901579027
0.0,geom_p_down1,0.5289719411180366,0.5289719411180366,0.03701497031451224,0.09318666597285259
0.0,geom_p_up2,0.4959691435282567,0.4959691435282567,0.0011660318917660227,0.011531309036386122
0.0,geom_signed_tail_mass,0.4104452439426217,0.4104452439426217,0.01876356953326998,0.15624521333330574
0.0,geom_down_mass,-0.3695806070186524,0.3695806070186524,0.03784618824425898,0.09386526146666196
0.0,baseline_numprob_12,0.32768958866270603,0.32768958866270603,0.0003174033077843838,0.0064031975823155
0.0,geom_up_mass,0.2545497267257716,0.2545497267257716,0.05660975777752894,0.11565254758752253
0.0,geom_down_boundary_gap,-0.21044931035549372,0.21044931035549372,0.8685290836636997,0.2092745069726338
0.0,baseline_numprob_13,-0.18607804510478954,0.18607804510478954,9.62823837967822e-06,0.00019160570210330127
0.0,baseline_numprob_11,-0.1639475033079085,0.1639475033079085,0.0020221712144012144,0.027567573241399832
0.0,geom_top2_prob,0.14887644240007236,0.14887644240007236,0.08780630224118986,0.13308938848409105
0.0,baseline_entropy,-0.0842983790716672,0.0842983790716672,0.22846410464676906,0.2766222223828705
0.0,baseline_entropy_norm,-0.08429837906305956,0.08429837906305956,0.08240100769875769,0.09977037710786282
0.0,baseline_conditional_margin,-0.053243152875316314,0.053243152875316314,0.8177377517370221,0.2735078215133602
0.0,baseline_best_numeral,0.04921387165910793,0.04921387165910793,4.888,2.3574257146302617
