alpha,sample_rank,row_index,feature_rank,feature,raw_feature_value,standardized_z,ridge_coef,score_contribution,abs_score_contribution
0.0,1,34,1,baseline_numprob_14,0.0235291826722638,4216.303090287992,0.02870416367450051,121.02545400492882,121.02545400492882
0.0,1,34,2,baseline_numprob_15,0.0059491090364712,8532.07553400148,-0.007527690110482668,-64.22682061919407,64.22682061919407
0.0,1,34,3,geom_up_distance_mass,1.353788522644139,10.793839592419554,-1.820573857963023,-19.65098218900529,19.65098218900529
0.0,1,34,4,geom_p_up2,0.2866441258051431,24.756781126286167,0.4959691435282567,12.278599531720662,12.278599531720662
0.0,1,34,5,geom_signed_distance_mass,1.2457041696277125,7.708629611259787,-0.7711809358974412,-5.9447481980980506,5.9447481980980506
0.0,1,34,6,geom_expected_minus_pred,1.245704169627713,7.708629611259787,-0.7711809358490697,-5.944748197725173,5.944748197725173
0.0,1,34,7,baseline_numprob_13,0.0019313929272742,10.02978861171069,-0.18607804510478954,-1.866323457681406,1.866323457681406
0.0,1,34,8,geom_signed_tail_mass,0.4024862719987191,2.4559005314734565,0.4104452439426217,1.0080126927394373,1.0080126927394373
0.0,1,34,9,geom_up_boundary_gap,0.4459342103891804,-1.7042934728860295,-0.5366050870559864,0.9145325473869573,0.9145325473869573
0.0,1,34,10,geom_up_mass,0.464945002331268,3.5307068721916623,0.2545497267257716,0.8987404694651914,0.8987404694651914
0.0,2,2532,1,baseline_numprob_0,0.9990888530771448,2138.263166897233,0.0027280026526084467,5.8331875912705895,5.8331875912705895
0.0,2,2532,2,geom_up_distance_mass,0.0018976393757714,-0.4662411872567936,-1.820573857963023,0.8488265170253609,0.8488265170253609
0.0,2,2532,3,geom_p_up1,0.0006261556583456,-0.48730463109209116,1.1788862868661614,-0.57447674712084,0.57447674712084
0.0,2,2532,4,baseline_vocab_numeral_mass,0.5037379499850658,-20.905588639123753,-0.021768764025490637,0.4550888258990629,0.4550888258990629
0.0,2,2532,5,geom_down_distance_mass,0.0,-0.4260853297350161,-0.9929441060893665,0.42307891685152854,0.42307891685152854
0.0,2,2532,6,geom_up_boundary_gap,0.9984626974187992,0.6253858719201133,-0.5366050870559864,-0.33558524024527636,0.33558524024527636
0.0,2,2532,7,geom_p_down1,0.0,-0.397213162721108,0.5289719411180366,-0.21011461772221904,0.21011461772221904
0.0,2,2532,8,geom_up_down_logratio,20.25510955525607,4.385489717760392,0.041067793682450254,0.18010238692549077,0.18010238692549077
0.0,2,2532,9,geom_down_mass,0.0,-0.4031969618249108,-0.3695806070186524,0.14901377789932696,0.14901377789932696
0.0,2,2532,10,geom_down_boundary_gap,0.9990888530771448,0.6238684840410015,-0.21044931035549372,-0.1312926922189561,0.1312926922189561
0.0,3,954,1,baseline_numprob_0,0.9989123944549302,2137.8854920824742,0.0027280026526084467,5.832157293374104,5.832157293374104
0.0,3,954,2,geom_up_distance_mass,0.0034096473865651,-0.4536474694118341,-1.820573857963023,0.8258987235422653,0.8258987235422653
0.0,3,954,3,geom_p_up1,0.0004302740626,-0.48904720649626676,1.1788862868661614,-0.5765310453686527,0.5765310453686527
0.0,3,954,4,geom_down_distance_mass,0.0,-0.4260853297350161,-0.9929441060893665,0.42307891685152854,0.42307891685152854
0.0,3,954,5,baseline_vocab_numeral_mass,0.5807359627085589,-17.55659402305509,-0.021768764025490637,0.3821853523792256,0.3821853523792256
