alpha,v3_max_abs_diff,v3_mean_abs_diff,v3_mismatches_gt_tol,tally_max_abs_diff,tally_mean_abs_diff,tally_mismatches_gt_tol
0.0,4.3587355946783646e-13,1.8738812178386092e-15,0,1.113775738303957e-12,3.346097478143604e-14,0
1.5,2.432720691558643e-12,7.552890167542839e-15,0,7.275957614183426e-12,1.770832087771032e-13,0
2.0,3.3226754680981685e-12,8.48467764146335e-15,0,1.0260237104375847e-11,3.194849761840575e-13,0
4.0,3.574918139293004e-12,8.124677878173711e-15,0,1.6285639503621496e-11,5.435079268020565e-13,0
