alpha,feature,v3_abs_z_median,tally_abs_z_median,v3_abs_z_q95,tally_abs_z_q95,v3_abs_z_q99,tally_abs_z_q99,v3_abs_z_q999,tally_abs_z_q999,v3_abs_z_max,tally_abs_z_max,v3_fraction_abs_z_gt_5,tally_fraction_abs_z_gt_5,v3_fraction_abs_z_gt_10,tally_fraction_abs_z_gt_10,v3_fraction_abs_z_gt_50,tally_fraction_abs_z_gt_50,v3_fraction_abs_z_gt_100,tally_fraction_abs_z_gt_100,v3_raw_min,v3_raw_max,tally_raw_min,tally_raw_max,q99_inflation
0.0,baseline_numprob_15,0.525659521623536,0.6605585309560993,1.6948182166127939,497.63177599995436,3.722338900154864,15858.66418414122,30.13000155625883,291238.2520384802,135.15162941762978,504829.80446228903,0.0075,0.25575,0.0025,0.21075,0.0005,0.11525,0.0005,0.09025,5.262928814998977e-09,9.473755915374677e-05,1.8187695359615826e-09,0.3519700211599081,4260.403098567187
0.0,baseline_numprob_14,0.07972142290837979,0.08713594210516148,0.09470830870192165,74.27273616326598,1.1439186926046208,2173.774345099319,60.245811371742626,33383.610355148405,362.8849420930066,58995.904460785874,0.006,0.135,0.0045,0.106,0.0015,0.058,0.0005,0.04475,3.3980022340989813e-09,0.0020255783294053,4.644390713677499e-09,0.3292211238602385,1900.2874584975007
0.0,baseline_numprob_0,0.07642994371744244,0.08630909753215499,0.09981623757768736,1735.5921354047107,0.3264296251295626,2115.257526350575,3.553268093560609,2137.28050876897,23.425996827819784,2138.646405439319,0.001,0.18375,0.0005,0.17,0.0,0.14,0.0,0.1285,4.139099466535114e-08,0.0109868175284497,3.6532797375980176e-08,0.9992679112045956,6479.9802576268385
0.0,geom_p_down2,0.1283990581918139,0.13167967032922798,0.42745630839130916,29.33659851374404,5.874030166148076,137.02863100351055,35.175913998908655,286.05151381090207,49.90614760009336,414.4340551929526,0.0105,0.0855,0.007,0.06875,0.0,0.0375,0.0,0.019,0.0,0.0501483556584787,0.0,0.4154814677181498,23.3278732195113
0.0,baseline_numprob_13,0.04966378685666546,0.0492841741465483,0.05022749817485865,2.254556201443414,0.2920137968643625,73.42751066357863,45.294315494169965,596.3615797481884,212.28595830498932,1718.1717037020614,0.0055,0.03675,0.0035,0.02775,0.001,0.01225,0.0005,0.00775,1.0692288425311587e-09,0.0406848283260793,2.817155361970732e-09,0.3292211238602385,251.45219661464668
0.0,baseline_vocab_numeral_mass,0.5231050647819987,3.4651260563478674,2.2311418059789747,18.780954593060613,3.89243778415907,27.10397048607073,7.654471049318605,36.69601057776134,9.612141723168147,42.61838309495422,0.005,0.37125,0.0,0.17475,0.0,0.0,0.0,0.0,0.7633898960212235,0.9998210237843608,0.0045308101016416,0.9975648442576636,6.963237947275081
0.0,geom_p_up2,0.09993030148573812,0.09984081596801192,0.10110273998087718,8.94550860112399,1.8237195828952404,17.16009943675492,4.312527509443037,29.522969145467673,6.626200200435939,41.50929746402012,0.001,0.0945,0.0,0.042,0.0,0.0,0.0,0.0,1.741173885721491e-07,0.0775747941399565,0.0,0.4798225688326607,9.409395829101669
0.0,geom_up_distance_mass,0.4785314790948334,0.47809385424255746,2.3701420013110384,6.626593647880827,3.4351488338327583,16.417383827274804,3.8993209996453877,35.03680260784109,4.091137360066025,45.73835747579731,0.0,0.0695,0.0,0.02325,0.0,0.0,0.0,0.0,5.108830885995839e-06,0.5490587681705903,0.0,5.54924467176998,4.779235084539954
0.0,geom_signed_distance_mass,0.12135337136472803,0.32077227840740563,2.478381176035036,4.647893155547134,3.033503268257579,12.605269741342045,3.1828750960723857,30.250972771208936,3.512915338038976,39.256717455252094,0.0,0.04575,0.0,0.015,0.0,0.0,0.0,0.0,-0.5431771362092638,0.5043842781439455,-6.241271266377534,5.54924467176998,4.15535063806879
0.0,geom_expected_minus_pred,0.12135337136472582,0.3207722784074065,2.4783811760350365,4.647893155547131,3.0335032682575758,12.605269741342042,3.1828750960723933,30.250972771208925,3.5129153380389884,39.25671745525206,0.0,0.04575,0.0,0.015,0.0,0.0,0.0,0.0,-0.5431771362092661,0.5043842781439452,-6.241271266377531,5.54924467176998,4.155350638068793
0.0,geom_down_distance_mass,0.4180423642685499,0.4259559912975429,2.9309381358824567,3.8013166767306013,4.441261702258062,7.199426615915508,5.1030035211996285,24.133095456789334,5.439145683392076,64.37055420657146,0.002,0.0245,0.0,0.005,0.0,0.00025,0.0,0.0,3.089483229510144e-06,0.5649443868518116,0.0,6.241271266377534,1.6210318370235863
0.0,baseline_entropy,0.8124228474436984,0.8181690841893001,1.8480283810654152,4.720160165193093,2.6093747490243007,6.924369103448635,3.5792031868629692,8.439428369384537,3.730608368797533,8.809838598484044,0.0,0.04125,0.0,0.0,0.0,0.0,0.0,0.0,9.502809452123144e-05,1.260433282463678,0.000145972163358,2.6654612365938184,2.6536506900877868
