calibration_size,n_runs,mean_accuracy_change,std_accuracy_change,min_accuracy_change,max_accuracy_change,mean_post_accuracy,mean_repairs,mean_breaks,mean_net_repairs,mean_intervention_rate,fraction_runs_positive_gain
50,25,0.003299999999999996,0.0117752388510807,-0.02375000000000005,0.026249999999999996,0.6517999999999999,19.28,16.64,2.64,0.37465,0.52
100,25,0.011799999999999993,0.009635816433148429,-0.018750000000000044,0.02124999999999999,0.6603,21.08,11.64,9.44,0.32095,0.92
250,25,0.018699999999999987,0.008412230679195621,-0.0012499999999999734,0.030000000000000027,0.6672000000000001,22.92,7.96,14.96,0.2352,0.96
500,25,0.021199999999999997,0.005418429200423309,0.012500000000000067,0.028750000000000053,0.6697,24.04,7.08,16.96,0.21305,1.0
1000,25,0.02239999999999999,0.005851014869234228,0.012499999999999956,0.03375000000000006,0.6708999999999999,24.92,7.0,17.92,0.1857,1.0
2000,25,0.023250000000000003,0.004448782605013061,0.015000000000000013,0.032500000000000084,0.67175,25.2,6.6,18.6,0.1705,1.0
3200,5,0.02300000000000002,0.004808846015417855,0.016249999999999987,0.028750000000000053,0.6715,25.2,6.8,18.4,0.1645,1.0
