sample_id,fold,ridge_alpha,threshold,baseline_correct,selected_alpha,selected_score,selected_utility
pccv2_n01_random_sparse_r06,4,0.01,0.1,True,1.0,0.048815057645898774,0
pccv2_n01_random_sparse_r07,3,0.01,0.1,True,1.0,0.03317785016715839,0
pccv2_n01_random_sparse_r08,2,0.01,0.1,True,1.0,0.037759187210419876,0
pccv2_n01_random_sparse_r09,1,0.01,0.1,True,1.0,0.05594306562244588,0
pccv2_n01_random_sparse_r10,5,0.01,0.1,True,1.0,0.03829988762730003,0
pccv2_n01_random_sparse_r11,4,0.01,0.1,True,1.0,0.06036146617976218,0
pccv2_n01_random_sparse_r12,3,0.01,0.1,True,1.0,0.06487565801771673,0
pccv2_n01_random_sparse_r13,2,0.01,0.1,True,1.0,0.06099393188055785,0
pccv2_n01_random_sparse_r14,1,0.01,0.1,True,1.0,0.025823681097790423,0
pccv2_n01_random_sparse_r15,5,0.01,0.1,True,1.0,0.02416259744014216,0
pccv2_n01_random_sparse_r16,4,0.01,0.1,True,1.0,0.03604784496292063,0
pccv2_n01_random_sparse_r17,3,0.01,0.1,True,1.0,0.05786027179284099,0
pccv2_n01_random_sparse_r18,2,0.01,0.1,True,1.0,0.04833015091299536,0
pccv2_n01_random_sparse_r19,1,0.01,0.1,True,1.0,0.07148745662229583,0
pccv2_n01_row_r00,5,0.01,0.1,True,1.0,0.03126044938387391,0
pccv2_n01_row_r01,4,0.01,0.1,True,1.0,0.030765940784632795,0
pccv2_n01_row_r02,3,0.01,0.1,True,1.0,0.009258523129524193,0
pccv2_n01_row_r03,2,0.01,0.1,True,1.0,0.022815460670892296,0
pccv2_n01_row_r04,1,0.01,0.1,True,1.0,0.027936488016387644,0
pccv2_n01_row_r05,5,0.01,0.1,True,1.0,0.019774720012264664,0
pccv2_n01_row_r06,4,0.01,0.1,True,1.0,0.021279784629035403,0
pccv2_n01_row_r07,3,0.01,0.1,True,1.0,0.034552370736981294,0
pccv2_n01_row_r08,2,0.01,0.1,True,1.0,0.016114724213601328,0
pccv2_n01_row_r09,1,0.01,0.1,True,1.0,0.045029772831774555,0
pccv2_n01_row_r10,5,0.01,0.1,True,1.0,0.01322181220029168,0
pccv2_n01_row_r11,4,0.01,0.1,True,1.0,0.019323411748484842,0
pccv2_n01_row_r12,3,0.01,0.1,True,1.0,0.033123878046747615,0
pccv2_n01_row_r13,2,0.01,0.1,True,1.0,0.03646239835122694,0
pccv2_n01_row_r14,1,0.01,0.1,True,1.0,0.030695491166090653,0
pccv2_n01_row_r15,5,0.01,0.1,True,1.0,0.043004332559583226,0
pccv2_n01_row_r16,4,0.01,0.1,True,1.0,0.026804406558138483,0
pccv2_n01_row_r17,3,0.01,0.1,True,1.0,0.034203845942162456,0
pccv2_n01_row_r18,2,0.01,0.1,True,1.0,0.008027273618749092,0
pccv2_n01_row_r19,1,0.01,0.1,True,1.0,0.025653278186741894,0
pccv2_n02_dense_r00,5,0.01,0.1,True,1.0,0.03136287895613352,0
pccv2_n02_dense_r01,4,0.01,0.1,True,1.0,0.0405719735223211,0
pccv2_n02_dense_r02,3,0.01,0.1,True,1.0,0.05297788801013327,0
pccv2_n02_dense_r03,2,0.01,0.1,True,1.0,0.05544932384602913,0
pccv2_n02_dense_r04,1,0.01,0.1,True,1.0,0.027853267788849626,0
pccv2_n02_dense_r05,5,0.01,0.1,True,1.0,0.018320753363344575,0
pccv2_n02_dense_r06,4,0.01,0.1,True,1.0,0.007639865983668798,0
pccv2_n02_dense_r07,3,0.01,0.1,True,4.0,0.1195357788595892,0
pccv2_n02_dense_r08,2,0.01,0.1,True,1.0,0.034972545203762403,0
pccv2_n02_dense_r09,1,0.01,0.1,True,4.0,0.11705875555297401,0
pccv2_n02_dense_r10,5,0.01,0.1,True,1.0,0.013507766762554906,0
pccv2_n02_dense_r11,4,0.01,0.1,True,1.0,0.06958180977366535,0
pccv2_n02_dense_r12,3,0.01,0.1,True,1.0,0.02393936512038096,0
pccv2_n02_dense_r13,2,0.01,0.1,True,1.0,0.09233189116244528,0
pccv2_n02_dense_r14,1,0.01,0.1,True,4.0,0.10515647777664983,0
pccv2_n02_dense_r15,5,0.01,0.1,True,1.0,0.09105889097161864,0
pccv2_n02_dense_r16,4,0.01,0.1,True,4.0,0.10059706733822144,0
pccv2_n02_dense_r17,3,0.01,0.1,True,1.0,0.052600026350629284,0
pccv2_n02_dense_r18,2,0.01,0.1,True,1.0,0.05261945226958624,0
pccv2_n02_dense_r19,1,0.01,0.1,True,1.0,0.08564218394082929,0
pccv2_n02_distractors_r00,5,0.01,0.1,False,4.0,0.37450192792486237,1
pccv2_n02_distractors_r01,4,0.01,0.1,True,1.0,0.042128659386143755,0
pccv2_n02_distractors_r02,3,0.01,0.1,True,1.0,0.05039806268436316,0
pccv2_n02_distractors_r03,2,0.01,0.1,True,1.0,0.040488431301060876,0
pccv2_n02_distractors_r04,1,0.01,0.1,True,1.0,0.03971828261849502,0
pccv2_n02_distractors_r05,5,0.01,0.1,True,1.0,0.0268933073099453,0
pccv2_n02_distractors_r06,4,0.01,0.1,True,1.0,0.05323729330883649,0
