archive_path	original_local_path	category	lines	sha256
archive/historical_scripts/distributed_dam_v2_smoke.py	scripts/distributed_dam_v2_smoke.py	dam_oracle	578	ae0f137f0af77603a77c06f3f115086a7d72fdaa8f65055a99625528de5ed2ac
archive/historical_scripts/distributed_dam_v2_smoke_fixed.py	scripts/distributed_dam_v2_smoke_fixed.py	dam_oracle	1230	b7dda449c62dce9f3696650dc71d6957dfd51f39f1100cc2a102114f5f5f60ed
archive/historical_scripts/extract_gt_attention_metrics.py	scripts/extract_gt_attention_metrics.py	observational_attention	1549	6fd1e960d459385b2fde1b994e703ce0432c7fe47b86d8379b1e98b5d02b69c5
archive/historical_scripts/extract_router_features.py	scripts/extract_router_features.py	controller_development	1027	5e93f6e3dafba9146baca2d54701b916864f35f508e6bfb1ae7482f8594a2eaf
archive/historical_scripts/filter_clean_matched_pairs.py	scripts/filter_clean_matched_pairs.py	observational_attention	74	28f6d155768d36d504e4da7f3b88038fbf0521f6cb92b878ad530c88309c5f9c
archive/historical_scripts/freeze_proc_count_heads.py	scripts/freeze_proc_count_heads.py	causal_discovery	126	0947bec97607643a47b9686cafc3b75f4d13b0e5137e4cade3c0ccdb3ea74841
archive/historical_scripts/generate_calibration50.py	scripts/generate_calibration50.py	sanity_instrumentation	379	798abe471f79e83de70eb784a4ca2080c42a026b0894cdfc8c5fae37af4e8df0
archive/historical_scripts/generate_proc_count_causal_v1.py	scripts/generate_proc_count_causal_v1.py	proc_count_v1	699	a70380357fd0412eaf687f0b4a1af22e473032ff5ed1da8e04e4e9fea9ff9bcb
archive/historical_scripts/make_sanity_image.py	scripts/make_sanity_image.py	sanity_instrumentation	46	0f5ca9a05b87c16323acd75e2f59164217c44cdf0a0a7b780ff8392db2711a77
archive/historical_scripts/map_dam_pairwise_interactions.py	scripts/map_dam_pairwise_interactions.py	dam_oracle	543	5b8ebcdeb9ad500910dc9cf25bb06f6bd119786c3c3a9711ae932733b7a8e0a3
archive/historical_scripts/oracle_dam_v1_smoke.py	scripts/oracle_dam_v1_smoke.py	dam_oracle	1716	ab624eb1766117b09f319fa5d54e411f80b28791bbbaf4f9971fc17ab8020397
