scope,n,baseline_correct,baseline_wrong,baseline_accuracy,post_correct,post_accuracy,accuracy_change,accuracy_change_ci95_low,accuracy_change_ci95_high,repairs,breaks,net_repairs,repair_rate_among_wrong,break_rate_among_correct,intervention_rate,mcnemar_exact_p
simple,2000,1561,439,0.7805,1583,0.7915,0.01100000000000001,0.0025,0.0195,49,27,22,0.11161731207289294,0.01729660474055093,0.118,0.015440262020906361
complex,2000,1036,964,0.518,1099,0.5495,0.03149999999999997,0.022,0.0415,81,18,63,0.08402489626556017,0.017374517374517374,0.282,1.0114972150081559e-10
