support_stratum,n,baseline_accuracy,original_accuracy,spuc_accuracy,original_gain,spuc_gain,original_repairs,original_breaks,spuc_repairs,spuc_breaks,policy_change_rate,mean_n_clipped_features
fully_in_support,2407,0.7262152056501869,0.6859160781055256,0.6859160781055256,-0.04029912754466136,-0.04029912754466136,17,114,17,114,0.0,0.0
any_out_of_support,1593,0.5310734463276836,0.517263025737602,0.517263025737602,-0.01381042059008164,-0.01381042059008164,34,56,15,37,0.42812303829252984,4.570621468926554
