alpha,policy,mean_score,median_score,fraction_gt_threshold,score_utility_spearman,mean_utility_all,mean_utility_triggered,triggered_n,triggered_repairs,triggered_breaks,triggered_net
0.0,original,-7.138948614584854,0.015529372841948674,0.28975,-0.11072065959765956,0.0235,-0.0060396893874029335,1159,1,8,-7
0.0,spuc_v1,-1.1436047201435267,-0.03529852966033914,0.2,-0.08911941810855482,0.0235,-0.00125,800,0,1,-1
1.5,original,35.657235289347,-0.01745182733015721,0.34825,-0.018831177542606294,-0.0175,-0.027279253409906678,1393,14,52,-38
1.5,spuc_v1,2.0341434927777122,-0.022820184625623935,0.32575,-0.0369508957433662,-0.0175,-0.02916346891788181,1303,14,52,-38
2.0,original,63.72274902281731,0.021170528576931216,0.3365,0.00954874746762975,-0.027,-0.034918276374442794,1346,33,80,-47
2.0,spuc_v1,-0.30972831583909494,-0.015420042696280794,0.1935,-0.06280282054430884,-0.027,-0.059431524547803614,774,20,66,-46
4.0,original,118.11250991441007,0.004536140037839188,0.4005,0.019252086396416516,-0.07125,-0.08114856429463171,1602,53,183,-130
4.0,spuc_v1,-0.3748359531114281,-0.0815510382181046,0.27025,-0.05660849098341908,-0.07125,-0.1091581868640148,1081,34,152,-118
