subset,n,baseline_accuracy,oof_post_accuracy,accuracy_change,repairs,breaks,intervention_rate
simple,2000,0.7865,0.7995,0.013000000000000012,50,24,0.0995
complex,2000,0.5105,0.5435,0.03300000000000003,76,10,0.2295
