alpha,score_mean,score_median,score_utility_spearman,fraction_score_gt_threshold,mean_utility_all,mean_utility_triggered,triggered_n,triggered_positive_utility,triggered_negative_utility,triggered_net_utility
0.0,0.023289851852107975,0.0004332036169488584,0.16117481198963848,0.11725,0.0235,0.18336886993603413,469,117,31,86
1.5,-0.01774601324498194,-0.0019361652337939912,0.17761261966428396,0.006,-0.0175,0.0,24,0,0,0
2.0,-0.02744524475336693,0.0015415777949307503,0.21002354291938405,0.01375,-0.027,0.0,55,1,1,0
4.0,-0.07220118963965086,-0.03371208494544427,0.31727735260875295,0.058,-0.07125,0.04741379310344827,232,15,4,11
